Organ,File,Dice,IoU,Hausdorff95
Kidneys,adrenal_gland_left.nii.gz,0.9021056294441223,0.8216689229011536,1.0
Kidneys,adrenal_gland_right.nii.gz,0.844368040561676,0.730654776096344,1.0
Kidneys,aorta.nii.gz,0.9693410992622375,0.9405061602592468,1.0
Kidneys,inferior_vena_cava.nii.gz,0.9469864368438721,0.8993107676506042,1.4142135381698608
Kidneys,kidney_left.nii.gz,0.9716159105300903,0.9447987079620361,1.0
Kidneys,kidney_right.nii.gz,0.9676558971405029,0.9373385310173035,1.0
Liver,gallbladder.nii.gz,0.9463690519332886,0.8981978893280029,1.0
Liver,liver.nii.gz,0.9836366772651672,0.9678001999855042,1.0
Liver,portal_vein_and_splenic_vein.nii.gz,0.8979223370552063,0.814754068851471,1.0
Liver,spleen.nii.gz,0.9742106199264526,0.9497179388999939,1.0
Stomach,esophagus.nii.gz,0.9524188041687012,0.9091598987579346,1.0
Stomach,pancreas.nii.gz,0.9309701919555664,0.8708552122116089,1.4142135381698608
Stomach,stomach.nii.gz,0.9590187668800354,0.9212642312049866,1.4142135381698608
