Organ,File,Dice,IoU,Hausdorff95
Kidneys,adrenal_gland_left.nii.gz,0.7336647510528564,0.5793606042861938,1.4142135381698608
Kidneys,adrenal_gland_right.nii.gz,0.6210848093032837,0.4504155218601227,2.2360680103302
Kidneys,aorta.nii.gz,0.9032037854194641,0.8234927654266357,2.0
Kidneys,inferior_vena_cava.nii.gz,0.8645591735839844,0.7614304423332214,3.0
Kidneys,kidney_left.nii.gz,0.9377149343490601,0.8827338218688965,1.4142135381698608
Kidneys,kidney_right.nii.gz,0.9315661191940308,0.8718986511230469,1.4142135381698608
Liver,gallbladder.nii.gz,0.8879074454307556,0.7984114289283752,2.0
Liver,liver.nii.gz,0.9655410051345825,0.933377742767334,2.0
Liver,portal_vein_and_splenic_vein.nii.gz,0.772686243057251,0.6295751333236694,3.605551242828369
Liver,spleen.nii.gz,0.9435842037200928,0.8931939601898193,1.4142135381698608
Stomach,esophagus.nii.gz,0.8019426465034485,0.6693691611289978,2.4494898319244385
Stomach,pancreas.nii.gz,0.8787299394607544,0.7836916446685791,2.0
Stomach,stomach.nii.gz,0.9332018494606018,0.8747689723968506,2.0
